dataset,model,iteration,name,timestamp,duration,settings
electricity,MICN,3,dyna_mask,2024-07-26 06:50:21.455487,0:04:27.107569,
mimic_iii,SegRNN,3,integrated_gradients,2024-07-26 06:50:37.241864,0:00:46.829824,
traffic,SegRNN,3,integrated_gradients,2024-07-26 06:50:48.365316,0:01:52.787177,
mimic_iii,SegRNN,3,gradient_shap,2024-07-26 06:51:06.599104,0:00:29.199717,
mimic_iii,SegRNN,3,dyna_mask,2024-07-26 06:51:42.179704,0:00:35.427498,
traffic,SegRNN,3,gradient_shap,2024-07-26 06:52:08.917794,0:01:20.357978,
traffic,SegRNN,3,dyna_mask,2024-07-26 06:53:27.372531,0:01:18.254851,
traffic,SegRNN,3,winIT,2024-07-26 06:55:48.003097,0:02:20.437314,
traffic,SegRNN,3,wtsr,2024-07-26 06:57:30.624101,0:01:42.424940,
electricity,MICN,3,winIT,2024-07-26 06:57:48.043253,0:07:26.353087,
mimic_iii,SegRNN,3,winIT,2024-07-26 06:59:39.227325,0:07:56.894955,
electricity,MICN,3,wtsr,2024-07-26 07:03:28.973380,0:05:40.710412,
mimic_iii,SegRNN,3,wtsr,2024-07-26 07:05:36.434200,0:05:57.044619,
traffic,iTransformer,1,feature_ablation,2024-07-26 07:21:40.940973,0:03:27.317281,
mimic_iii,iTransformer,1,feature_ablation,2024-07-26 07:21:50.815037,0:05:06.443628,
traffic,iTransformer,1,occlusion,2024-07-26 07:25:12.851768,0:03:31.714146,
mimic_iii,iTransformer,1,occlusion,2024-07-26 07:27:10.693686,0:05:19.654065,
traffic,iTransformer,1,augmented_occlusion,2024-07-26 07:28:45.786442,0:03:32.742585,
traffic,iTransformer,1,feature_permutation,2024-07-26 07:32:16.314167,0:03:30.337136,
mimic_iii,iTransformer,1,augmented_occlusion,2024-07-26 07:32:39.152488,0:05:28.284164,
traffic,iTransformer,1,integrated_gradients,2024-07-26 07:35:22.929374,0:03:06.419625,
traffic,iTransformer,1,gradient_shap,2024-07-26 07:37:51.665621,0:02:28.534218,
mimic_iii,iTransformer,1,feature_permutation,2024-07-26 07:37:56.648876,0:05:17.337305,
mimic_iii,iTransformer,1,integrated_gradients,2024-07-26 07:38:33.441271,0:00:36.640940,
mimic_iii,iTransformer,1,gradient_shap,2024-07-26 07:39:04.457639,0:00:30.859587,
mimic_iii,iTransformer,1,dyna_mask,2024-07-26 07:39:47.023842,0:00:42.405553,
traffic,iTransformer,1,dyna_mask,2024-07-26 07:40:21.482018,0:02:29.623609,
traffic,iTransformer,1,winIT,2024-07-26 07:44:30.753960,0:04:09.077659,
traffic,iTransformer,1,wtsr,2024-07-26 07:48:48.952962,0:04:18.001604,
mimic_iii,iTransformer,1,winIT,2024-07-26 07:50:02.297932,0:10:15.119862,
electricity,SegRNN,1,feature_ablation,2024-07-26 07:56:21.841856,0:02:36.220255,
mimic_iii,iTransformer,1,wtsr,2024-07-26 07:56:25.756175,0:06:23.299825,
electricity,SegRNN,1,occlusion,2024-07-26 07:59:02.419907,0:02:40.360099,
electricity,SegRNN,1,augmented_occlusion,2024-07-26 08:01:45.661561,0:02:43.025566,
electricity,SegRNN,1,feature_permutation,2024-07-26 08:04:25.450056,0:02:39.571235,
electricity,SegRNN,1,integrated_gradients,2024-07-26 08:07:15.536035,0:02:49.840298,
electricity,SegRNN,1,gradient_shap,2024-07-26 08:09:15.777990,0:02:00.010670,
electricity,SegRNN,1,dyna_mask,2024-07-26 08:11:14.365774,0:01:58.351310,
mimic_iii,iTransformer,2,feature_ablation,2024-07-26 08:13:17.965617,0:05:15.329433,
electricity,SegRNN,1,winIT,2024-07-26 08:14:49.181928,0:03:34.595256,
electricity,SegRNN,1,wtsr,2024-07-26 08:17:22.974841,0:02:33.577624,
mimic_iii,iTransformer,2,occlusion,2024-07-26 08:18:48.133630,0:05:30.010461,
mimic_iii,iTransformer,2,augmented_occlusion,2024-07-26 08:24:28.951551,0:05:40.603710,
mimic_iii,iTransformer,2,feature_permutation,2024-07-26 08:29:58.218326,0:05:29.114204,
mimic_iii,iTransformer,2,integrated_gradients,2024-07-26 08:30:36.513202,0:00:38.134011,
mimic_iii,iTransformer,2,gradient_shap,2024-07-26 08:31:08.164256,0:00:31.498772,
mimic_iii,iTransformer,2,dyna_mask,2024-07-26 08:31:51.706982,0:00:43.389637,
mimic_iii,iTransformer,2,winIT,2024-07-26 08:42:07.417243,0:10:15.548666,
traffic,iTransformer,2,feature_ablation,2024-07-26 08:45:50.264401,0:03:35.681772,
mimic_iii,iTransformer,2,wtsr,2024-07-26 08:48:30.542969,0:06:22.968608,
traffic,iTransformer,2,occlusion,2024-07-26 08:49:30.227128,0:03:39.738010,
electricity,SegRNN,2,feature_ablation,2024-07-26 08:50:47.073781,0:02:39.250673,
traffic,iTransformer,2,augmented_occlusion,2024-07-26 08:53:12.373024,0:03:41.949455,
electricity,SegRNN,2,occlusion,2024-07-26 08:53:32.458119,0:02:45.155848,
electricity,SegRNN,2,augmented_occlusion,2024-07-26 08:56:21.882565,0:02:49.205341,
traffic,iTransformer,2,feature_permutation,2024-07-26 08:56:51.989951,0:03:39.417954,
electricity,SegRNN,2,feature_permutation,2024-07-26 08:59:06.386915,0:02:44.286506,
traffic,iTransformer,2,integrated_gradients,2024-07-26 09:00:04.684571,0:03:12.448079,
electricity,SegRNN,2,integrated_gradients,2024-07-26 09:01:58.988448,0:02:52.383679,
traffic,iTransformer,2,gradient_shap,2024-07-26 09:02:38.711686,0:02:33.823145,
electricity,SegRNN,2,gradient_shap,2024-07-26 09:04:00.272666,0:02:01.066810,
traffic,iTransformer,2,dyna_mask,2024-07-26 09:05:08.782019,0:02:29.877558,
mimic_iii,iTransformer,3,feature_ablation,2024-07-26 09:05:23.816183,0:05:16.130274,
electricity,SegRNN,2,dyna_mask,2024-07-26 09:05:58.314267,0:01:57.812012,
traffic,iTransformer,2,winIT,2024-07-26 09:09:18.899524,0:04:09.920420,
electricity,SegRNN,2,winIT,2024-07-26 09:09:33.153704,0:03:34.534628,
mimic_iii,iTransformer,3,occlusion,2024-07-26 09:10:54.400928,0:05:30.431737,
electricity,SegRNN,2,wtsr,2024-07-26 09:12:06.914868,0:02:33.544377,
traffic,iTransformer,2,wtsr,2024-07-26 09:13:38.567913,0:04:19.472814,
mimic_iii,iTransformer,3,augmented_occlusion,2024-07-26 09:16:36.381305,0:05:41.809214,
mimic_iii,iTransformer,3,feature_permutation,2024-07-26 09:22:04.657273,0:05:28.117257,
mimic_iii,iTransformer,3,integrated_gradients,2024-07-26 09:22:42.266516,0:00:37.417153,
mimic_iii,iTransformer,3,gradient_shap,2024-07-26 09:23:13.893657,0:00:31.467991,
mimic_iii,iTransformer,3,dyna_mask,2024-07-26 09:23:56.147538,0:00:42.080197,
mimic_iii,iTransformer,3,winIT,2024-07-26 09:34:12.004466,0:10:15.699389,
mimic_iii,iTransformer,3,wtsr,2024-07-26 09:40:36.584512,0:06:24.426149,
electricity,SegRNN,3,feature_ablation,2024-07-26 09:45:35.459131,0:02:40.370265,
electricity,SegRNN,3,occlusion,2024-07-26 09:48:21.595152,0:02:45.905767,
electricity,SegRNN,3,augmented_occlusion,2024-07-26 09:51:11.073243,0:02:49.250872,
electricity,SegRNN,3,feature_permutation,2024-07-26 09:53:55.924498,0:02:44.630338,
electricity,SegRNN,3,integrated_gradients,2024-07-26 09:56:46.596454,0:02:50.453360,
electricity,SegRNN,3,gradient_shap,2024-07-26 09:58:47.895096,0:02:01.039975,
electricity,SegRNN,3,dyna_mask,2024-07-26 10:00:46.265926,0:01:58.147917,
electricity,SegRNN,3,winIT,2024-07-26 10:04:21.502008,0:03:35.015218,
electricity,SegRNN,3,wtsr,2024-07-26 10:06:55.675871,0:02:33.957750,
traffic,iTransformer,3,feature_ablation,2024-07-26 10:10:38.298261,0:03:36.091208,
traffic,iTransformer,3,occlusion,2024-07-26 10:14:18.773137,0:03:40.270314,
traffic,iTransformer,3,augmented_occlusion,2024-07-26 10:18:01.360602,0:03:42.356957,
traffic,iTransformer,3,feature_permutation,2024-07-26 10:21:41.519292,0:03:39.966151,
traffic,iTransformer,3,integrated_gradients,2024-07-26 10:24:52.174745,0:03:10.463631,
traffic,iTransformer,3,gradient_shap,2024-07-26 10:27:26.076987,0:02:33.703386,
traffic,iTransformer,3,dyna_mask,2024-07-26 10:29:55.699044,0:02:29.423905,
traffic,iTransformer,3,winIT,2024-07-26 10:34:05.519842,0:04:09.623260,
traffic,iTransformer,3,wtsr,2024-07-26 10:38:24.832046,0:04:19.115831,
electricity,iTransformer,1,feature_ablation,2024-07-26 10:43:15.514908,0:05:08.363533,
electricity,iTransformer,1,occlusion,2024-07-26 10:48:29.657565,0:05:13.923215,
electricity,iTransformer,1,augmented_occlusion,2024-07-26 10:53:45.919639,0:05:16.027953,
electricity,iTransformer,1,feature_permutation,2024-07-26 10:58:59.340727,0:05:13.203203,
electricity,iTransformer,1,integrated_gradients,2024-07-26 11:03:28.992941,0:04:29.435234,
electricity,iTransformer,1,gradient_shap,2024-07-26 11:07:09.054786,0:03:39.839855,
electricity,iTransformer,1,dyna_mask,2024-07-26 11:10:46.843154,0:03:37.570216,
electricity,iTransformer,1,winIT,2024-07-26 11:16:57.968198,0:06:10.909027,
electricity,iTransformer,1,wtsr,2024-07-26 11:23:15.277997,0:06:17.082468,
electricity,iTransformer,2,feature_ablation,2024-07-26 12:46:16.403339,0:05:15.218407,
electricity,iTransformer,2,occlusion,2024-07-26 12:51:38.959181,0:05:22.335323,
electricity,iTransformer,2,augmented_occlusion,2024-07-26 12:57:02.676565,0:05:23.492052,
